date,Open,High,Low,Close,Volume
2018-01-02,198.87,198.87,195.96,197.22,4107682.0
2018-01-03,197.0,200.0,197.0,199.79,3292693.0
2018-01-04,200.9,202.13,200.01,200.69,3844077.0
2018-01-05,201.0,201.67,199.31,201.42,4092553.0
2018-01-08,201.15,203.07,199.8,202.74,3594382.0
2018-01-09,203.34,204.4,202.58,203.02,3833708.0
2018-01-10,203.0,205.72,202.5,205.61,3744922.0
2018-01-11,205.96,207.28,205.72,206.69,3635347.0
2018-01-12,207.27,210.39,206.8,210.16,4180966.0
2018-01-16,213.12,214.03,209.36,210.29,5954529.0
2018-01-17,211.92,214.5,211.14,214.16,4563215.0
2018-01-18,215.67,215.78,213.06,213.19,4791668.0
2018-01-19,213.45,214.3,212.11,213.25,5131496.0
2018-01-22,213.29,216.08,213.25,215.97,3186225.0
2018-01-23,216.04,216.35,212.77,215.56,3651453.0
2018-01-24,216.12,216.89,214.59,215.61,4155393.0
2018-01-25,216.24,216.5,214.28,215.1,3076221.0
2018-01-26,215.52,217.34,215.15,217.19,3451028.0
2018-01-29,217.15,217.62,215.19,215.46,2841136.0
2018-01-30,214.97,216.62,214.1,214.41,4812500.0
2018-01-31,214.99,215.05,213.37,214.38,4609603.0
2018-02-01,214.49,217.5,214.03,217.25,4494125.0
2018-02-02,216.16,216.58,207.87,209.12,6032833.0
2018-02-05,205.49,207.1,196.0,196.8,10547737.0
2018-02-06,193.15,201.92,190.18,201.24,10584179.0
2018-02-07,202.0,204.48,200.0,200.37,5711297.0
2018-02-08,200.37,200.99,191.04,191.42,7901233.0
2018-02-09,195.68,197.57,189.3,196.02,8872006.0
2018-02-12,198.51,200.66,196.14,198.89,4887180.0
2018-02-13,197.58,198.84,195.92,197.99,3773042.0
2018-02-14,197.04,200.76,195.99,200.54,4329808.0
2018-02-15,202.38,203.9,200.31,203.9,4345765.0
2018-02-16,203.99,206.32,203.16,203.79,4370757.0
2018-02-20,203.34,204.7,202.35,203.05,4034789.0
2018-02-21,202.5,205.22,200.77,201.02,4965690.0
2018-02-22,201.57,203.28,200.16,200.73,3922265.0
2018-02-23,201.39,202.97,200.81,202.76,3876677.0
2018-02-26,207.71,211.14,205.36,210.62,7563317.0
2018-02-27,212.0,213.13,209.65,209.66,5797923.0
2018-02-28,211.0,211.54,200.47,207.2,5259087.0
2018-03-01,206.82,208.57,200.28,201.53,6984000.0
2018-03-02,199.98,201.97,198.98,201.34,5025500.0
2018-03-05,199.6,204.13,199.12,203.24,4041100.0
2018-03-06,204.86,204.86,202.37,204.55,3203300.0
2018-03-07,202.35,204.83,201.75,204.3,3622810.0
2018-03-08,204.32,205.49,203.03,205.29,2886307.0
2018-03-09,206.95,213.24,206.25,212.94,5086523.0
2018-03-12,213.2,213.36,211.24,211.82,4613626.0
2018-03-13,212.69,213.04,208.8,209.13,4585569.0
2018-03-14,210.4,210.4,206.23,206.99,3719863.0
2018-03-15,208.29,209.32,207.61,207.82,3257491.0
2018-03-16,208.56,208.97,206.46,206.96,5637189.0
2018-03-19,206.87,207.06,202.64,203.99,4059514.0
2018-03-20,204.25,205.6,203.8,204.75,2871424.0
2018-03-21,205.38,207.27,204.0,204.83,3090949.0
2018-03-22,203.18,203.19,196.99,197.63,6443286.0
2018-03-23,198.0,198.25,191.87,192.46,7160740.0
2018-03-26,196.9,199.57,195.08,199.34,5194393.0
2018-03-27,200.48,201.44,194.44,196.15,4651905.0
2018-03-28,196.17,198.72,193.78,196.67,4388800.0
2018-03-29,198.08,201.01,197.33,199.48,5714600.0
2018-04-02,199.01,199.61,192.02,195.0,6178200.0
2018-04-03,196.0,198.24,193.91,197.96,4192900.0
2018-04-04,194.02,200.53,194.0,200.11,4100700.0
2018-04-05,201.17,202.77,200.27,200.85,4661300.0
2018-04-06,199.7,199.85,193.74,195.49,5580600.0
2018-04-09,196.73,198.63,194.95,195.33,3873100.0
2018-04-10,198.16,199.7,197.05,197.8,3250500.0
2018-04-11,196.6,197.04,194.92,195.22,3157700.0
2018-04-12,196.5,199.6,196.29,198.13,3707900.0
2018-04-13,199.6,199.85,196.0,197.0,3150900.0
2018-04-16,198.65,199.95,197.55,198.22,3819000.0
2018-04-17,199.85,200.66,198.9,199.27,4658300.0
